L;phi;Fobj_dens_liq;Fobj_dens_vap;Fobj_P;Tc;Pc;rhoc
3.28571428571e-10;3.1306122449;0.23657882883499998;0.6939062005230001;0.0031517445784099997;520.498216594;9.05260305961;8063.61772871
3.28571428571e-10;3.33265306122;0.297149766664;0.745937484706;0.0010936288553;521.485385961;9.248530181289999;8188.88404674
3.28571428571e-10;3.53469387755;0.39342114032799996;0.8061038166310001;0.00025656594671999997;522.55080814;9.45420979077;8277.21286074
3.28571428571e-10;3.73673469388;0.525450282858;0.874188658298;0.000292773652139;523.714535036;9.67280972513;8400.87320034
3.28571428571e-10;3.9387755101999997;0.6898255893970001;0.9497098913400001;0.0008988982093;524.972091059;9.903916451719999;8545.4112596
3.28571428571e-10;4.14081632653;0.8800487526559999;1.0317908367;0.00182827192217;526.310996075;10.145811606;8651.4058364
3.28571428571e-10;4.34285714286;1.08789331199;1.11938569374;0.0028953298428600004;527.773728095;10.405476889;8718.85693073
3.28571428571e-10;4.54489795918;1.30512533292;1.21118283877;0.00397171746574;529.30288428;10.6740705771;8935.66401963
3.28571428571e-10;4.74693877551;1.5248173817700001;1.30607685707;0.00497658604439;530.951653446;10.9605923874;9046.47653173
3.28571428571e-10;4.948979591840001;1.74192853362;1.40293389625;0.00586469417158;532.682093604;11.2591778002;9197.43850475
3.28571428571e-10;5.15102040816;1.95320857538;1.5008985696000001;0.0066152903113199995;534.463289781;11.5647746032;9308.25101685
3.28571428571e-10;5.35306122449;2.15686630695;1.59917370908;0.00722325611535;536.3307041219999;11.8837595621;9398.18580928
3.28571428571e-10;5.5551020408200005;2.3521014488900005;1.6972795332799997;0.00769280765075;538.255847161;12.2114936568;9523.45212732
3.28571428571e-10;5.75714285714;2.53877050313;1.79478001967;0.00803260096389;540.208024858;12.542654914000002;9618.20485506
3.28571428571e-10;5.95918367347;2.71710812742;1.8913377726900005;0.00825405582426;542.204188603;12.8804488713;9716.16953967
3.28571428571e-10;6.1612244898;2.88756296917;1.98678374071;0.00837205951048;544.23880806;13.224127886700002;9804.49835367
3.28571428571e-10;6.36326530612;3.05067360305;2.0809161719900002;0.00839950984179;546.290389865;13.5698346206;9859.1016205
3.28571428571e-10;6.56530612245;3.20700806231;2.17362145356;0.00834856709629;548.341979938;13.9144612799;9931.37065014
3.28571428571e-10;6.76734693878;3.35711175179;2.2648857635499997;0.00822917911228;550.400815269;14.259441558299999;9997.21576603
3.28571428571e-10;6.9693877551;3.50146663889;2.35473152455;0.00804852882695;552.4549903459999;14.6025583292;10045.3951191
3.28571428571e-10;7.17142857143;3.6405809272099994;2.4430542744;0.007820996344229999;554.504369021;14.943857691199998;10090.3625153
3.28571428571e-10;7.37346938776;3.77481742281;2.52996999001;0.007552211206659999;556.582880975;15.2900806044;10164.2375234
3.28571428571e-10;7.575510204079999;3.9046725922800003;2.61525523696;0.00725774156355;558.603804686;15.6241832995;10169.0554587
3.28571428571e-10;7.77755102041;4.03073698366;2.6989114775;0.00694072225313;560.63185908;15.9589782017;10175.4793725
3.28571428571e-10;7.97959183673;4.1528185660900006;2.78130594839;0.006602222593609999;562.62629977;16.2864004863;10188.327199899999
3.28571428571e-10;8.181632653060001;4.27139821754;2.86228203992;0.00625218765363;564.592013663;16.607410291500006;10250.960359
3.28571428571e-10;8.383673469389999;4.38667542032;2.9418903174799995;0.00589595150083;566.564449705;16.929162371;10284.6859061
3.28571428571e-10;8.58571428571;4.49882515238;3.0201488051200003;0.00553836825602;568.517275756;17.2464009731;10311.9875395
3.28571428571e-10;8.78775510204;4.60800946856;3.09708680793;0.0051838215552;570.457623513;17.5605971329;10326.4413455
3.28571428571e-10;8.98979591837;4.71436775975;3.17274336013;0.004836269581199999;572.341839808;17.862874756700002;10324.835367
3.28571428571e-10;9.19183673469;4.8180414137900005;3.2471498529600002;0.00449928143306;574.234467618;18.1663857046;10331.259280799999
3.28571428571e-10;9.39387755102;4.91915787765;3.32034818148;0.004176072969699999;576.110433707;18.4660490059;10329.6533023
3.28571428571e-10;9.59591836735;5.01783658906;3.39236823726;0.00386954122888;577.904162985;18.748459751400002;10348.9250436
3.28571428571e-10;9.79795918367;5.11419190274;3.4632407083699994;0.00358229271911;579.758257373;19.0428163592;10332.8652592
3.28571428571e-10;10.0;5.20832352071;3.5329935658;0.00331666509727;581.535521897;19.3210366114;10345.713086700001
3.42857142857e-10;0.1;0.967187236094;1.01877485119;0.322598001551;514.246074387;7.207318956900001;6725.83769126
3.42857142857e-10;0.302040816327;0.925360540963;0.885895545925;0.275130629333;514.391152122;7.307837032839999;6849.49803086
3.42857142857e-10;0.504081632653;0.874923473046;0.781478512667;0.232037315022;514.5465842269999;7.408089158130001;6916.94912519
3.42857142857e-10;0.70612244898;0.8167267453120001;0.7023992250259999;0.193273171208;514.774791134;7.51558674666;7008.48989606
3.42857142857e-10;0.908163265306;0.7518090981309999;0.6450629559409999;0.158752721854;515.0585526790001;7.62840002327;7093.60675318
3.42857142857e-10;1.1102040816299998;0.6814206858990001;0.60591325306;0.128353153612;515.364055873;7.742352136010001;7114.48447285
3.42857142857e-10;1.31224489796;0.607080542947;0.58188628956;0.101917557393;515.702666904;7.85883788537;7210.84317903
