 Defined Configuration:----------------------
Number of components: 3 
Equation of State:    PR 
Mixing Rule:          VdW1f 
Components:           nC20, CH4, CO2(4C) 
Feed Composition:     [0.2, 0.3, 0.5] 
Association Rule:     4C, 4C, 4C 
Combining Rule:       CR-1 
============================================
Phase 1;Phase 2;T(K);P(MPa)
1.171e-05;0.2;290.90955462;9.513211946
8.57e-06;0.2;288.766699868;9.245345803
6.241e-06;0.2;286.690215605;8.987781006
4.522e-06;0.2;284.672768971;8.739685718
3.261e-06;0.2;282.70774167;8.500301666
2.34e-06;0.2;280.789164228;8.268940365
1.67e-06;0.2;278.911655647;8.044978899
1.187e-06;0.2;277.070368034;7.827855458
8.39e-07;0.2;275.260936611;7.617064842
5.9e-07;0.2;273.479433779;7.412153988
4.13e-07;0.2;271.722328017;7.21271764
2.88e-07;0.2;269.986446562;7.018394225
1.99e-07;0.2;268.268941867;6.828861934
1.37e-07;0.2;266.567261381;6.643835059
9.4e-08;0.2;264.879120337;6.463060569
6.4e-08;0.2;263.202477351;6.286314954
4.4e-08;0.2;261.535512413;6.113401283
3e-08;0.2;259.876607128;5.944146528
2e-08;0.2;258.224326773;5.778399077
1.3e-08;0.2;256.577404331;5.616026473
9e-09;0.2;254.93472601;5.456913341
6e-09;0.2;253.295317915;5.300959487
4e-09;0.2;251.658334338;5.14807817
3e-09;0.2;250.023046812;4.998194518
2e-09;0.2;248.388834382;4.851244097
1e-09;0.2;246.755174536;4.707171587
1e-09;0.2;245.12163505;4.5659296
0.0;0.2;243.487866513;4.427477585
0.0;0.2;241.853595349;4.291780853
0.0;0.2;240.218617536;4.158809676
0.0;0.2;238.582792714;4.028538481
0.0;0.2;236.946038762;3.900945118
0.0;0.2;235.30832681;3.776010202
0.0;0.2;233.669676527;3.653716519
0.0;0.2;232.0301518;3.534048495
0.0;0.2;230.389856667;3.416991716
0.0;0.2;228.748931535;3.302532513
0.0;0.2;227.107549614;3.190657578
0.0;0.2;225.465913632;3.081353645
0.0;0.2;223.824252635;2.974607189
0.0;0.2;222.182819087;2.870404188
0.0;0.2;220.541886102;2.7687299
0.0;0.2;218.901744828;2.669568687
0.0;0.2;217.262701989;2.572903861
0.0;0.2;215.625077572;2.478717562
0.0;0.2;213.989202658;2.386990662
0.0;0.2;212.355417354;2.297702688
0.0;0.2;210.724068869;2.210831774
0.0;0.2;209.09550972;2.126354624
0.0;0.2;207.470096013;2.044246504
0.0;0.2;205.848185861;1.964481236
0.0;0.2;204.230137915;1.887031218
0.0;0.2;202.616309965;1.811867455
0.0;0.2;201.007057694;1.738959593
0.0;0.2;199.402733458;1.668275974
0.0;0.2;197.803685237;1.599783694
0.0;0.2;196.210255627;1.533448665
0.0;0.2;194.622780938;1.46923569
0.0;0.2;193.041590386;1.40710854
0.0;0.2;191.467005362;1.347030031
0.0;0.2;189.899338784;1.288962111
0.0;0.2;188.338894522;1.232865943
0.0;0.2;186.785966918;1.178701991
0.0;0.2;185.240840352;1.126430107
0.0;0.2;183.703788905;1.076009619
0.0;0.2;182.175076062;1.027399414
0.0;0.2;180.654954474;0.980558019
0.0;0.2;179.143665761;0.935443699
0.0;0.2;177.641440626;0.892014499
0.0;0.2;176.148498384;0.850228378
0.0;0.2;174.665047278;0.810043228
0.0;0.2;173.191284427;0.771416978
0.0;0.2;171.727395824;0.734307649
0.0;0.2;170.273556482;0.69867342
0.0;0.2;168.82993059;0.664472692
0.0;0.2;167.396671623;0.631664141
0.0;0.2;165.973922564;0.60020677
0.0;0.2;164.561816112;0.570059968
0.0;0.2;163.160474877;0.541183543
0.0;0.2;161.770011646;0.513537776
0.0;0.2;160.390529638;0.487083456
0.0;0.2;159.022122749;0.461781914
0.0;0.2;157.664875838;0.437595061
0.0;0.2;156.318864996;0.414485415
0.0;0.2;154.984157829;0.392416126
0.0;0.2;153.660813737;0.371351006
0.0;0.2;152.348884198;0.351254546
0.0;0.2;151.048413046;0.332091935
0.0;0.2;149.75943675;0.313829081
0.0;0.2;148.481984685;0.296432619
0.0;0.2;147.216079409;0.279869929
0.0;0.2;145.961736921;0.264109142
0.0;0.2;144.718966923;0.249119151
0.0;0.2;143.487773068;0.234869617
0.0;0.2;142.268153213;0.22133097
0.0;0.2;141.060099654;0.208474419
0.0;0.2;139.863599353;0.196271946
0.0;0.2;138.678634176;0.184696313
0.0;0.2;137.505181098;0.173721056
0.0;0.2;136.343212424;0.163320484
0.0;0.2;135.192695983;0.153469677
0.0;0.2;134.053595336;0.144144478
0.0;0.2;132.925869963;0.135321491
0.0;0.2;131.809475443;0.126978069
0.0;0.2;130.704363639;0.119092313
0.0;0.2;129.610482869;0.111643058
0.0;0.2;128.527778076;0.104609866
0.0;0.2;127.456190985;0.097973014
0.0;0.2;126.395660267;0.091713485
0.0;0.2;125.346121686;0.085812958
0.0;0.2;124.307508252;0.08025379
0.0;0.2;123.279750363;0.075019009
0.0;0.2;122.262775945;0.070092301
0.0;0.2;121.256510767;0.065457994
0.0;0.2;120.260877682;0.061101032
0.0;0.2;119.275798543;0.057006994
0.0;0.2;118.30119254;0.053162044
0.0;0.2;117.336977221;0.049552933
0.0;0.2;116.383068421;0.046166982
0.0;0.2;115.439380397;0.042992065
0.0;0.2;114.505825941;0.040016594
0.0;0.2;113.582316526;0.037229503
0.0;0.2;112.668762068;0.03462023
0.0;0.2;111.765072029;0.032178712
0.0;0.2;110.871153854;0.02989535
0.0;0.2;109.986915223;0.027761016
0.0;0.2;109.112261691;0.025767012
0.0;0.2;108.247098934;0.023905079
