Defined Configuration:----------------------
Number of components: 1 
Equation of State:    CPA+RG 
Mixing Rule:          VdW1f 
Components:           Methanol 
Feed Composition:     [0.5, 0.5] 
Association Rule:     2B 
Combining Rule:       CR-1 
============================================
rho(mol/m3);S_A;S_F
22984.053199;-0.000119054;-0.012219644
23048.6151462;-0.000119152;-0.012236086
23113.1770934;-0.00011925;-0.012252501
23177.7390406;-0.000119349;-0.01226889
23242.3009878;-0.000119448;-0.012285252
23306.862935;-0.000119547;-0.012301589
23371.4248822;-0.000119647;-0.012317899
23435.9868294;-0.000119747;-0.012334184
23500.5487766;-0.000119847;-0.012350443
23565.1107237;-0.000119947;-0.012366676
23629.6726709;-0.000120048;-0.012382884
23694.2346181;-0.000120149;-0.012399066
23758.7965653;-0.000120251;-0.012415223
23823.3585125;-0.000120352;-0.012431354
23887.9204597;-0.000120455;-0.012447461
23952.4824069;-0.000120557;-0.012463542
24017.0443541;-0.00012066;-0.012479599
24081.6063012;-0.000120763;-0.012495631
24146.1682484;-0.000120867;-0.012511638
24210.7301956;-0.000120971;-0.01252762
24275.2921428;-0.000121075;-0.012543578
24339.85409;-0.00012118;-0.012559512
24404.4160372;-0.000121286;-0.012575421
24468.9779844;-0.000121391;-0.012591306
24533.5399316;-0.000121498;-0.012607167
24598.1018788;-0.000121604;-0.012623004
24662.6638259;-0.000121711;-0.012638817
24727.2257731;-0.000121819;-0.012654607
24791.7877203;-0.000121927;-0.012670373
24856.3496675;-0.000122035;-0.012686115
24920.9116147;-0.000122145;-0.012701833
24985.4735619;-0.000122254;-0.012717529
25050.0355091;-0.000122364;-0.012733201
25114.5974563;-0.000122475;-0.01274885
25179.1594034;-0.000122586;-0.012764475
25243.7213506;-0.000122698;-0.012780078
25308.2832978;-0.00012281;-0.012795658
25372.845245;-0.000122923;-0.012811215
25437.4071922;-0.000123037;-0.012826749
25501.9691394;-0.000123151;-0.012842261
25566.5310866;-0.000123266;-0.012857751
25631.0930338;-0.000123381;-0.012873217
25695.654981;-0.000123497;-0.012888662
25760.2169281;-0.000123614;-0.012904084
25824.7788753;-0.000123732;-0.012919485
25889.3408225;-0.00012385;-0.012934863
25953.9027697;-0.000123969;-0.012950219
26018.4647169;-0.000124089;-0.012965553
26083.0266641;-0.000124209;-0.012980866
26147.5886113;-0.00012433;-0.012996157
26212.1505585;-0.000124453;-0.013011426
26276.7125056;-0.000124575;-0.013026674
26341.2744528;-0.000124699;-0.013041901
26405.8364;-0.000124824;-0.013057106
26470.3983472;-0.000124949;-0.01307229
26534.9602944;-0.000125076;-0.013087452
26599.5222416;-0.000125203;-0.013102594
26664.0841888;-0.000125332;-0.013117715
26728.646136;-0.000125461;-0.013132815
26793.2080832;-0.000125591;-0.013147894
26857.7700303;-0.000125723;-0.013162953
26922.3319775;-0.000125855;-0.013177991
26986.8939247;-0.000125989;-0.013193008
27051.4558719;-0.000126124;-0.013208005
27116.0178191;-0.000126259;-0.013222982
27180.5797663;-0.000126397;-0.013237938
27245.1417135;-0.000126535;-0.013252874
27309.7036607;-0.000126674;-0.01326779
27374.2656079;-0.000126815;-0.013282686
27438.827555;-0.000126957;-0.013297562
27503.3895022;-0.000127101;-0.013312419
27567.9514494;-0.000127246;-0.013327255
