 Defined Configuration:----------------------
Number of components: 3 
Equation of State:    SRK 
Mixing Rule:          VdW1f 
Components:           nC20, CH4, CO2(4C) 
Feed Composition:     [0.2, 0.3, 0.5] 
Association Rule:     4C, 4C, 4C 
Combining Rule:       CR-1 
============================================
Phase 1;Phase 2;T(K);P(MPa)
0.000123288;0.2;323.103196898;13.423585273
9.394e-05;0.2;319.529880435;12.987191772
7.1224e-05;0.2;316.155109985;12.572284747
5.3734e-05;0.2;312.960400244;12.177632068
4.0338e-05;0.2;309.928758883;11.801976521
3.0132e-05;0.2;307.044616849;11.444066551
2.2397e-05;0.2;304.293747143;11.1026791
1.6566e-05;0.2;301.663178512;10.776636104
1.2192e-05;0.2;299.141100436;10.464815665
8.928e-06;0.2;296.716781556;10.166159411
6.506e-06;0.2;294.380477268;9.879676439
4.717e-06;0.2;292.123347638;9.604444916
3.404e-06;0.2;289.937379029;9.33961188
2.444e-06;0.2;287.815310328;9.08439169
1.746e-06;0.2;285.750565132;8.838063585
1.241e-06;0.2;283.737189198;8.599968613
8.78e-07;0.2;281.769792858;8.369506149
6.18e-07;0.2;279.843499146;8.14613026
4.33e-07;0.2;277.953896264;7.929345953
3.01e-07;0.2;276.096994773;7.718705475
2.09e-07;0.2;274.269188726;7.513804684
1.44e-07;0.2;272.467220675;7.314279567
9.9e-08;0.2;270.688150305;7.119802933
6.8e-08;0.2;268.929325767;6.930081264
4.6e-08;0.2;267.188358217;6.744851782
3.1e-08;0.2;265.463098565;6.563879692
2.1e-08;0.2;263.751616666;6.386955624
1.4e-08;0.2;262.052182485;6.213893255
9e-09;0.2;260.363249038;6.044527107
6e-09;0.2;258.683436804;5.878710505
4e-09;0.2;257.01151984;5.716313704
3e-09;0.2;255.346413002;5.55722216
2e-09;0.2;253.687160202;5.401334924
1e-09;0.2;252.032923867;5.248563183
1e-09;0.2;250.382975306;5.098828916
0.0;0.2;248.736685677;4.952063652
0.0;0.2;247.093517881;4.80820734
0.0;0.2;245.45301903;4.667207309
0.0;0.2;243.814813528;4.529017324
0.0;0.2;242.178596636;4.393596719
0.0;0.2;240.544128542;4.260909604
0.0;0.2;238.911228877;4.130924155
0.0;0.2;237.279771617;4.003611958
0.0;0.2;235.649680336;3.87894742
0.0;0.2;234.020923727;3.756907239
0.0;0.2;232.393511514;3.637469922
0.0;0.2;230.767490594;3.520615357
0.0;0.2;229.142941466;3.406324431
0.0;0.2;227.51997476;3.294578689
0.0;0.2;225.898728184;3.18536003
0.0;0.2;224.279363492;3.078650446
0.0;0.2;222.662063785;2.974431791
0.0;0.2;221.047030839;2.872685584
0.0;0.2;219.434482716;2.773392835
0.0;0.2;217.824651481;2.67653391
0.0;0.2;216.217781061;2.582088404
0.0;0.2;214.614125258;2.490035057
0.0;0.2;213.013945894;2.400351669
0.0;0.2;211.417511072;2.313015051
0.0;0.2;209.825093555;2.228000986
0.0;0.2;208.236969294;2.145284203
0.0;0.2;206.653416012;2.064838372
0.0;0.2;205.074711947;1.986636107
0.0;0.2;203.501134653;1.910648976
0.0;0.2;201.932959949;1.836847532
0.0;0.2;200.370460905;1.76520134
0.0;0.2;198.813906968;1.695679022
0.0;0.2;197.263563137;1.628248297
0.0;0.2;195.719689265;1.562876037
0.0;0.2;194.182539392;1.499528322
0.0;0.2;192.652361176;1.438170496
0.0;0.2;191.129395418;1.378767231
0.0;0.2;189.613875602;1.321282587
0.0;0.2;188.106027576;1.265680081
0.0;0.2;186.606069176;1.211922746
0.0;0.2;185.11421008;1.1599732
0.0;0.2;183.630651521;1.109793709
0.0;0.2;182.155586209;1.061346249
0.0;0.2;180.68919819;1.01459257
0.0;0.2;179.231662854;0.969494254
0.0;0.2;177.78314683;0.926012781
0.0;0.2;176.343808026;0.884109574
0.0;0.2;174.91379581;0.843746063
0.0;0.2;173.493250915;0.804883736
0.0;0.2;172.082305622;0.767484186
0.0;0.2;170.681083865;0.731509161
0.0;0.2;169.289701433;0.696920608
0.0;0.2;167.90826604;0.663680718
0.0;0.2;166.536877588;0.631751962
0.0;0.2;165.175628304;0.601097133
0.0;0.2;163.824602941;0.571679378
0.0;0.2;162.483879007;0.543462234
0.0;0.2;161.153526938;0.516409656
0.0;0.2;159.83361034;0.490486048
0.0;0.2;158.524186186;0.465656287
0.0;0.2;157.225305032;0.441885749
0.0;0.2;155.937011236;0.41914033
0.0;0.2;154.659343163;0.39738647
0.0;0.2;153.392333394;0.376591164
0.0;0.2;152.136008933;0.356721989
0.0;0.2;150.890391406;0.337747111
0.0;0.2;149.655497253;0.319635302
0.0;0.2;148.431337927;0.302355952
0.0;0.2;147.217920067;0.28587908
0.0;0.2;146.015245681;0.270175343
0.0;0.2;144.823312328;0.255216042
0.0;0.2;143.64211327;0.240973132
0.0;0.2;142.471637643;0.227419227
0.0;0.2;141.311870607;0.2145276
0.0;0.2;140.162793503;0.202272193
0.0;0.2;139.024383991;0.190627614
0.0;0.2;137.896616191;0.17956914
0.0;0.2;136.779460812;0.169072717
0.0;0.2;135.672885298;0.159114958
0.0;0.2;134.576853932;0.149673143
0.0;0.2;133.491327967;0.140725217
0.0;0.2;132.416265751;0.132249783
0.0;0.2;131.351622821;0.124226099
0.0;0.2;130.297352031;0.116634076
0.0;0.2;129.253403653;0.109454267
0.0;0.2;128.219725475;0.102667865
0.0;0.2;127.196262914;0.096256692
0.0;0.2;126.18295911;0.090203193
0.0;0.2;125.179755019;0.084490428
0.0;0.2;124.186589519;0.079102061
0.0;0.2;123.203399496;0.07402235
0.0;0.2;122.230119936;0.069236141
0.0;0.2;121.266684024;0.06472885
0.0;0.2;120.313023096;0.060486456
0.0;0.2;119.36906736;0.056495499
0.0;0.2;118.434744738;0.052743043
0.0;0.2;117.509981392;0.049216676
0.0;0.2;116.594705187;0.045904552
0.0;0.2;115.688837855;0.042795244
0.0;0.2;114.792303269;0.039877873
0.0;0.2;113.905023177;0.037142015
0.0;0.2;113.026918461;0.034577714
0.0;0.2;112.157908816;0.032175459
0.0;0.2;111.297913434;0.029926178
0.0;0.2;110.446849978;0.027821214
0.0;0.2;109.604636473;0.025852329
0.0;0.2;108.771189311;0.02401167
