Methanol;Methanol;
2.66971723079849E-10;8.3481496516;
2.66085156853543E-10;8.3380836365;
2.64970316541602E-10;8.3358823627;
2.65376244082473E-10;8.355037268;
2.6684348378762E-10;8.3439631953;
2.66665714623984E-10;8.343945185;
2.69747685699018E-10;8.3297602472;
2.72323666739759E-10;8.3467610135;
2.70953358716893E-10;8.3351319464;
2.69585206232085E-10;8.3224660316;
2.66634195148212E-10;8.3479482517;
2.63184222076268E-10;8.3358408523;
2.61412386327813E-10;8.3329266608;
2.65303186558313E-10;8.3484368639;
2.66056363163745E-10;8.3420944791;
2.68683123251216E-10;8.3373476448;
2.67881698238748E-10;8.333566622;
2.71952963620123E-10;8.3460795707;
2.69940815834707E-10;8.3359862314;
2.70384263748118E-10;8.3382695935;
2.69549392214933E-10;8.3369738013;
2.66249877550816E-10;8.334874966;
2.65059081967031E-10;8.3323064142;
2.69140260690829E-10;8.3351081241;
2.67023145015473E-10;8.3396556053;
2.69875600800822E-10;8.33374038;
2.67571509093788E-10;8.3381638278;
2.70858406041875E-10;8.3373443607;
2.69117941099991E-10;8.336773307;
2.7013926782986E-10;8.3457672987;
2.71006990748293E-10;8.3314865762;
2.69047074012722E-10;8.3364444969;
2.67935151426895E-10;8.3336047157;
2.71217753551248E-10;8.3292315286;
2.68885553097258E-10;8.3360546207;
2.70346041155648E-10;8.3320791962;
2.67665593334746E-10;8.3399470128;
2.69726934093996E-10;8.3329246236;
2.69347335068456E-10;8.3413622495;
2.70016769870732E-10;8.3495161512;
2.71598583337061E-10;8.3419444519;
2.70481143711239E-10;8.3424355917;
2.71498431726068E-10;8.3397268929;
2.72110322162131E-10;8.3321458021;
2.70847341221452E-10;8.3350584457;
2.70517850128238E-10;8.3430237373;
2.6994256419213E-10;8.3455744033;
2.69387120673839E-10;8.3321589292;
2.69484805202499E-10;8.3497450162;
2.69955520891168E-10;8.3513905775;
2.70524745515026E-10;8.3487225023;
2.70803358841407E-10;8.3469378236;
2.71966999528805E-10;8.3450801788;
2.71879238943043E-10;8.3487718929;
2.71393493782825E-10;8.3397186268;
2.70429547505554E-10;8.3492320561;
2.71081266531979E-10;8.3508909598;
2.69311793466139E-10;8.3456753018;
2.6955354026952E-10;8.3539363996;
2.69856537595586E-10;8.3513314878;
2.69724259640073E-10;8.3529012436;
2.70500628729067E-10;8.3501348447;
2.7027273111298E-10;8.3507945008;
2.69802787332526E-10;8.3578898961;
2.70971850161571E-10;8.3520579657;
2.70267189492345E-10;8.3523435188;
2.71430609107198E-10;8.3526099393;
2.69314943605424E-10;8.3535237289;
2.69608665693364E-10;8.3571021405;
2.69781364062749E-10;8.3553739183;
2.69345735036993E-10;8.3591124894;
2.70018424184517E-10;8.3544137099;
2.69052721578674E-10;8.3588688203;
2.68764561527267E-10;8.3624488978;
2.70172159361021E-10;8.3617673968;
2.70082959577911E-10;8.3567806761;
2.71243472037685E-10;8.3536265747;
2.69454957273818E-10;8.3584363629;
2.69379352214329E-10;8.3595529038;
2.69416916627411E-10;8.3577002408;
2.69156472735453E-10;8.3622181123;
2.69127340622609E-10;8.3569720709;
2.68617054081455E-10;8.3629865123;
2.68319312636543E-10;8.3625366132;
2.69627250973564E-10;8.3653987077;
2.69569151714602E-10;8.3591948619;
2.70965622140474E-10;8.3567038712;
2.69438986507019E-10;8.3614503111;
2.69391561119929E-10;8.3658098717;
2.69302493338232E-10;8.3598192093;
2.69442815219708E-10;8.3668332567;
2.68760723003031E-10;8.3593462968;
2.69258637661398E-10;8.3669914217;
2.6889512953272E-10;8.3640311736;
2.69354796779836E-10;8.3672143631;
2.6936994212095E-10;8.363024397;
2.7077216183266E-10;8.3645398392;
2.69493062868971E-10;8.3638895482;
2.6927981131912E-10;8.3697067235;
2.69228709027593E-10;8.3627132466;
2.6948324230676E-10;8.3692624238;
2.6868774964557E-10;8.3635881602;
2.6957942945137E-10;8.3689938764;
2.69471291455426E-10;8.3664149273;
2.69142888926037E-10;8.368045426;
2.69173077091852E-10;8.3649467345;
2.70120181695089E-10;8.3694854139;
2.69303410651073E-10;8.3652003644;
2.69223936418716E-10;8.3716551494;
2.69204772923891E-10;8.3645378578;
2.69374562569395E-10;8.3705600792;
2.6911964234445E-10;8.3716267314;
2.69583374743912E-10;8.3702851688;
2.69660161886122E-10;8.3678148178;
2.69089479503031E-10;8.368990415;
2.69180713849513E-10;8.3683789475;
2.69484331906391E-10;8.3720026217;
