 Defined Configuration:----------------------
Number of components: 1 
Equation of State:    CPA+RG 
Mixing Rule:          VdW1f 
Components:           n-Decane(Lit) 
Feed Composition:     [0.5, 0.5] 
Association Rule:     2B 
Combining Rule:       CR-1 
============================================
T;rhov;rhol;P
489.909995148;63.084814338;4004.62610875;0.229804286
491.880765795;65.796821654;3989.09908573;0.239703461
493.842416927;68.614357554;3973.47149554;0.249891052
495.794845496;71.509111947;3957.7433083;0.26037053
497.737962594;74.485640152;3941.91406254;0.271143052
499.671676806;77.558114333;3925.98329718;0.282210945
501.595889397;80.731366289;3909.95099504;0.293577749
503.510499211;83.988895781;3893.81661867;0.305245166
505.415413073;87.343330305;3877.580054;0.317214482
507.310531435;90.809156303;3861.24082833;0.329488446
509.195747271;94.368768818;3844.79892781;0.342069286
511.07096235;98.026676667;3828.25386333;0.35495747
512.936075944;101.798524076;3811.60545683;0.368154647
514.79097941;105.671440458;3794.8534449;0.381662401
516.635570412;109.649321428;3777.99754847;0.395480754
518.469744526;113.74646376;3761.03746199;0.409610819
520.293390025;117.948648419;3743.97304952;0.424053198
522.106402225;122.265794108;3726.80388993;0.438807502
523.908671273;126.704194707;3709.5299012;0.45387433
525.700084127;131.2539686;3692.15065737;0.469253017
527.480532471;135.931120861;3674.6660759;0.484943111
529.249899948;140.725761861;3657.07572964;0.500944126
531.008074932;145.647762496;3639.37951874;0.517254691
532.75494081;150.697191591;3621.57706709;0.533874048
534.490380748;155.874314007;3603.66815087;0.550800316
536.214277667;161.187014311;3585.65259157;0.568032164
537.926510455;166.630601506;3567.52995813;0.58556735
539.626960134;172.215524862;3549.30015357;0.603403935
541.315502448;177.936771112;3530.96279929;0.621539265
542.992015462;183.804326693;3512.51759758;0.639970862
544.656372097;189.815126911;3493.96439801;0.658695584
546.308446733;195.976520785;3475.30276216;0.677710457
547.948109854;202.289902177;3456.5324182;0.697011836
549.575231112;208.75717911;3437.65317484;0.71659621
551.18967911;215.385951853;3418.66457406;0.736459508
552.791318421;222.174051781;3399.56631299;0.756597578
554.380014551;229.131208111;3380.35811982;0.777006003
555.955628007;236.257985017;3361.03963535;0.797679978
557.518018832;243.557545984;3341.61041038;0.818614629
559.067045265;251.038264378;3322.07011528;0.839804693
560.60256119;258.701510894;3302.41842255;0.861244645
562.124419646;266.551583094;3282.65488348;0.882928798
563.632471296;274.59673782;3262.77901162;0.90485113
565.126562433;282.840540772;3242.79041875;0.927005325
566.606537372;291.287396576;3222.6886828;0.949384858
568.072238015;299.944277283;3202.47334028;0.971982943
569.523502546;308.81859673;3182.14383147;0.994792474
570.960165164;317.91607258;3161.69964939;1.017806071
572.382056952;327.243246841;3141.14028467;1.04101609
573.789005471;336.807368344;3120.46519908;1.064414605
575.180834387;346.616349593;3099.67382774;1.087993398
576.557363126;356.679052069;3078.76558098;1.11174395
577.91840639;367.004198227;3057.73982284;1.135657429
579.263774202;377.60094094;3036.59591095;1.159724694
580.593271687;388.479093613;3015.33320546;1.183936288
581.906698743;399.649141334;2993.9510468;1.208282423
583.203849696;411.122274635;2972.4487588;1.232752975
584.484512938;422.910445424;2950.82565262;1.257337464
585.748470542;435.026446635;2929.08103145;1.282025052
586.995497834;447.484020005;2907.21419705;1.30680452
588.225362923;460.297663166;2885.2244578;1.331664258
589.43782632;473.482397813;2863.11113598;1.356592242
590.632640689;487.054944052;2840.87357426;1.381576025
